actor,country,month,sim_to_russia,sim_to_ukraine
Institution,Institution,2022-02,0.5070103,0.45497388
Institution,Institution,2022-03,0.45871687,0.3944304
Institution,Institution,2022-04,0.45891476,0.39313117
Institution,Institution,2022-05,0.46484217,0.41333938
Institution,Institution,2022-06,0.48344317,0.44666755
Institution,Institution,2022-07,0.447262,0.34223115
Institution,Institution,2022-08,0.43924633,0.33915296
Institution,Institution,2022-09,0.48500657,0.421201
Institution,Institution,2022-10,0.4540277,0.37546435
Institution,Institution,2022-11,0.45635697,0.41478088
Institution,Institution,2022-12,0.45916796,0.4081561
Institution,Institution,2023-01,0.43632782,0.37600031
Institution,Institution,2023-02,0.38693264,0.25812092
Institution,Institution,2023-03,0.35139138,0.2622178
Institution,Institution,2023-04,0.41962376,0.23986435
Institution,Institution,2023-05,0.3801421,0.23456673
Institution,Institution,2023-06,0.35720977,0.20783365
Institution,Institution,2023-07,0.377539,0.20085469
Institution,Institution,2023-08,0.37055758,0.18568987
Institution,Institution,2023-09,0.39934096,0.22484191
Institution,Institution,2023-10,0.36344048,0.24792905
Institution,Institution,2023-11,0.3638934,0.2626429
Institution,Institution,2023-12,0.34744933,0.20298618
Institution,Institution,2024-01,0.39582625,0.23942268
Institution,Institution,2024-02,0.3872618,0.24738267
Institution,Institution,2024-03,0.4161714,0.21130468
Institution,Institution,2024-04,0.3870816,0.21976398
Institution,Institution,2024-05,0.34113282,0.24243146
Institution,Institution,2024-06,0.4095762,0.22454655
Institution,Institution,2024-07,0.3947242,0.20801648
Institution,Institution,2024-08,0.39421245,0.27325022
Institution,Institution,2024-09,0.38574493,0.24370153
Institution,Institution,2024-10,0.38651127,0.22842672
Institution,Institution,2024-11,0.38166878,0.24417387
Institution,Institution,2024-12,0.3706666,0.24425651
State,Georgia,2022-02,0.60734624,0.43918183
State,Georgia,2022-03,0.6007994,0.42553926
State,Georgia,2022-04,0.56972855,0.38196546
State,Georgia,2022-05,0.50198513,0.35424682
State,Georgia,2022-06,0.45444292,0.28704745
State,Georgia,2022-07,0.5321886,0.33748794
State,Georgia,2022-08,0.5934267,0.38440144
State,Georgia,2022-09,0.57003415,0.35938582
State,Georgia,2022-10,0.5577339,0.36371323
State,Georgia,2022-11,0.5634173,0.34946662
State,Georgia,2022-12,0.590482,0.39108947
State,Georgia,2023-01,0.54872984,0.35077843
State,Georgia,2023-02,0.5020524,0.30822128
State,Georgia,2023-03,0.54072547,0.31455296
State,Georgia,2023-04,0.5833003,0.38207334
State,Georgia,2023-05,0.52680266,0.2830629
State,Georgia,2023-06,0.514997,0.33175367
State,Georgia,2023-07,0.56410086,0.4050964
