actor,country,month,n_docs,avg_civ_per_1000,total_civ_count,doc_hit_rate
State,Georgia,2022-02,15,0.0,0,0.0
State,Georgia,2022-03,17,0.0,0,0.0
State,Georgia,2022-04,11,0.0,0,0.0
State,Georgia,2022-05,12,0.0,0,0.0
State,Georgia,2022-06,7,0.0,0,0.0
State,Georgia,2022-07,4,0.0,0,0.0
State,Georgia,2022-08,2,0.0,0,0.0
State,Georgia,2022-09,13,0.0,0,0.0
State,Georgia,2022-10,7,0.0,0,0.0
State,Georgia,2022-11,9,0.0,0,0.0
State,Georgia,2022-12,3,0.0,0,0.0
State,Georgia,2023-01,6,0.0,0,0.0
State,Georgia,2023-02,5,0.0,0,0.0
State,Georgia,2023-03,2,0.0,0,0.0
State,Georgia,2023-04,7,0.0,0,0.0
State,Georgia,2023-05,1,0.0,0,0.0
State,Georgia,2023-06,4,0.0,0,0.0
State,Georgia,2023-07,2,0.0,0,0.0
State,Georgia,2023-08,2,0.0,0,0.0
State,Georgia,2023-09,4,0.0,0,0.0
State,Georgia,2023-10,6,0.0,0,0.0
State,Georgia,2023-11,5,0.0,0,0.0
State,Georgia,2023-12,6,0.0,0,0.0
State,Georgia,2024-01,2,0.0,0,0.0
State,Georgia,2024-02,6,0.0,0,0.0
State,Georgia,2024-03,6,0.0,0,0.0
State,Georgia,2024-04,3,0.0,0,0.0
State,Georgia,2024-05,5,0.0,0,0.0
State,Georgia,2024-06,5,0.0,0,0.0
State,Georgia,2024-07,2,0.0,0,0.0
State,Georgia,2024-08,1,0.0,0,0.0
State,Georgia,2024-09,1,0.0,0,0.0
State,Georgia,2024-10,2,0.0,0,0.0
State,Georgia,2024-11,3,0.0,0,0.0
State,Georgia,2024-12,9,0.0,0,0.0
Institution,Institution,2022-02,44,0.0,0,0.0
Institution,Institution,2022-03,34,0.0,0,0.0
Institution,Institution,2022-04,30,0.0,0,0.0
Institution,Institution,2022-05,12,0.0,0,0.0
Institution,Institution,2022-06,30,0.0,0,0.0
Institution,Institution,2022-07,21,0.0,0,0.0
Institution,Institution,2022-08,9,0.0,0,0.0
Institution,Institution,2022-09,25,0.0,0,0.0
Institution,Institution,2022-10,18,0.0,0,0.0
Institution,Institution,2022-11,29,0.0,0,0.0
Institution,Institution,2022-12,47,0.0,0,0.0
Institution,Institution,2023-01,8,0.0,0,0.0
Institution,Institution,2023-02,7,0.0,0,0.0
Institution,Institution,2023-03,13,0.0,0,0.0
Institution,Institution,2023-04,6,0.0,0,0.0
Institution,Institution,2023-05,5,0.0,0,0.0
Institution,Institution,2023-06,9,0.0,0,0.0
Institution,Institution,2023-07,4,0.0,0,0.0
Institution,Institution,2023-08,3,0.0,0,0.0
Institution,Institution,2023-09,7,0.0,0,0.0
Institution,Institution,2023-10,7,0.0,0,0.0
Institution,Institution,2023-11,9,0.0,0,0.0
Institution,Institution,2023-12,9,0.0,0,0.0
Institution,Institution,2024-01,5,0.0056847251435393105,1,0.2
Institution,Institution,2024-02,10,0.0,0,0.0
Institution,Institution,2024-03,7,0.0,0,0.0
Institution,Institution,2024-04,7,0.0,0,0.0
