actor,country,month,n_docs,avg_chars
Institution,Institution,2022-02,44,4860.954545454545
Institution,Institution,2022-03,34,5010.382352941177
Institution,Institution,2022-04,30,4730.5
Institution,Institution,2022-05,12,4565.5
Institution,Institution,2022-06,30,4991.133333333333
Institution,Institution,2022-07,21,4900.857142857143
Institution,Institution,2022-08,9,3666.6666666666665
Institution,Institution,2022-09,25,5682.4
Institution,Institution,2022-10,18,4824.111111111111
Institution,Institution,2022-11,29,5241.172413793103
Institution,Institution,2022-12,47,5083.021276595745
Institution,Institution,2023-01,8,43915.125
Institution,Institution,2023-02,7,2791.0
Institution,Institution,2023-03,13,1901.6153846153845
Institution,Institution,2023-04,6,2892.5
Institution,Institution,2023-05,5,2800.8
Institution,Institution,2023-06,9,3483.222222222222
Institution,Institution,2023-07,4,5615.5
Institution,Institution,2023-08,3,1701.3333333333333
Institution,Institution,2023-09,7,3762.285714285714
Institution,Institution,2023-10,7,3232.8571428571427
Institution,Institution,2023-11,9,3476.3333333333335
Institution,Institution,2023-12,9,2563.3333333333335
Institution,Institution,2024-01,5,47436.0
Institution,Institution,2024-02,10,2842.4
Institution,Institution,2024-03,7,3165.1428571428573
Institution,Institution,2024-04,7,4005.0
Institution,Institution,2024-05,4,1495.75
Institution,Institution,2024-06,7,3667.285714285714
Institution,Institution,2024-07,4,1831.5
Institution,Institution,2024-08,6,3003.8333333333335
Institution,Institution,2024-09,12,5198.166666666667
Institution,Institution,2024-10,7,1687.5714285714287
Institution,Institution,2024-11,8,3472.25
Institution,Institution,2024-12,7,4328.285714285715
State,Georgia,2022-02,15,1577.4666666666667
State,Georgia,2022-03,17,1626.0588235294117
State,Georgia,2022-04,11,2077.818181818182
State,Georgia,2022-05,12,1599.25
State,Georgia,2022-06,7,1911.7142857142858
State,Georgia,2022-07,4,1292.75
State,Georgia,2022-08,2,2681.0
State,Georgia,2022-09,13,1387.4615384615386
State,Georgia,2022-10,7,1100.857142857143
State,Georgia,2022-11,9,1874.4444444444443
State,Georgia,2022-12,3,1089.6666666666667
State,Georgia,2023-01,6,1955.5
State,Georgia,2023-02,5,1970.4
